Brand,Item,Calories,Protein (g),Fitness Ratio
Whataburger,Creamy Pepper Sauce,120,1,120
Whataburger,Pancake Platter with Bacon Whatameal,870,15,58
Whataburger,Tortilla,180,4,45
Whataburger,Large White Bun,300,9,33.33333333
Whataburger,Salted Caramel Shake- 16 oz,430,7,61.42857143
Whataburger,Green Chile Double Whatameal with Lower Calorie Sides,1020,55,18.54545455
Whataburger,Chop House Cheddar Burger Jr. Whatameal with Lower Calorie Sides,640,32,20
Whataburger,Whatachick'n Strips- 3 Piece Whatameal with Lower Calorie Sides,680,29,23.44827586
Whataburger,Hash Brown Sticks,190,2,95
Whataburger,Jalapeno Cheddar Biscuit with Bacon,380,12,31.66666667
Whataburger,Jalapeno Cheddar Biscuit and Gravy,520,11,47.27272727
Whataburger,Jalapeno Cheddar Biscuit Sandwich,470,18,26.11111111
Whataburger,Monterey Melt Jr.,600,28,21.42857143
