Brand,Item,Calories,Protein (g),Fitness Ratio
Burger King,Triple Whopper Sandwich with Cheese,1220,71,17.183098591549296
Burger King,Kids Chicken Nuggets- 6 Piece,260,12,21.666666666666668
Burger King,Chicken Nuggets- 10 Piece,430,20,21.5
Burger King,Kids Fat Free Milk,90,9,10
Burger King,Quaker Oatmeal Maple Flavor,170,4,42.5
Burger King,Sausage- Egg- & Cheese Biscuit,530,19,27.894736842105264
Burger King,BK Joe Iced Coffee- Vanilla,190,1,190
Burger King,BK Ultimate Breakfast Platter,1230,29,42.41379310344828
Burger King,Frosted Frozen Fanta Lemonade,180,2,90
Burger King,Spicy Crispy Chicken Jr.,390,12,32.5
Burger King,French Fries- Small (Salted),320,4,80
Burger King,Croissan'wich Sausage- Egg & Cheese,500,19,26.31578947368421
Burger King,Croissan'wich Ham- Egg & Cheese,370,17,21.764705882352942
Burger King,French Toast Sticks- 5 Piece,380,5,76
Burger King,Value Menu Crispy Chicken Jr.,450,12,37.5
Burger King,Chicken Nuggets- 4 Piece,170,8,21.25
Burger King,Pie Made with Twix,370,4,92.5
Burger King,Bacon & Cheese Crispy Chicken Sandwich,800,30,26.666666666666668
Burger King,Kids Soft Serve Cone,190,5,38
Burger King,Kids Chocolate Chip Cookie,160,2,80
Burger King,French Fries- Medium (Salted),380,5,76
Burger King,Pancake and Sausage Platter,610,12,50.833333333333336
Burger King,Croissan'wich Bacon- Egg & Cheese,370,14,26.428571428571427
Burger King,Chicken Nuggets- 6 Piece,260,12,21.666666666666668
Burger King,Kids 1% Low Fat Chocolate Milk,160,8,20
Burger King,Club Salad with Crispy Chicken- No Dressing,540,31,17.419354838709676
Burger King,Value Menu Rodeo Crispy Chicken Jr.,420,13,32.30769230769231
Burger King,Garden Chicken Salad with Crispy Chicken- No Dressing,440,25,17.6
Burger King,Sausage- Egg- Cheese & Hash Brown Burrito,370,15,24.666666666666668
Burger King,Garden Chicken Salad with Grilled Chicken- No Dressing,340,39,8.717948717948717
