Brand,Item,Calories,Protein (g),Fitness Ratio
Jack in the Box,Grande Sausage Breakfast Burrito with Salsa,1040,36,28.88888889
Jack in the Box,Grande Sausage Breakfast Burrito without Salsa,1040,35,29.71428571
Jack in the Box,Kids Grilled Cheese Sandwich,330,11,30
Jack in the Box,Southwest Scrambler Plate with Bacon,500,23,21.73913043
Jack in the Box,Orange & Cranberry Mini Muffins,300,4,75
Jack in the Box,Sriracha Curly Fry Burger Munchie Meal,1720,44,39.09090909
Jack in the Box,Iced Coffee- Caramel- 24 fl oz,270,4,67.5
Jack in the Box,Chicken Club Salad with Crispy Chicken,510,32,15.9375
Jack in the Box,Bacon Ranch Monster Taco,340,11,30.90909091
Jack in the Box,Iced Coffee- Mocha- 24 fl oz,320,5,64
Jack in the Box,Stacked Grilled Cheese Burger Munchie Meal,1890,56,33.75
Jack in the Box,Seasoned Curly Fries- Small,280,3,93.33333333
Jack in the Box,Mini Churros (10 pc.),690,7,98.57142857
Jack in the Box,Sausage- Egg & Cheese Biscuit,530,18,29.44444444
Jack in the Box,Chicken Sandwich with Bacon,560,21,26.66666667
Jack in the Box,Southwest Scrambler Plate with Sausage,580,21,27.61904762
Jack in the Box,Homestyle Ranch Chicken Club,710,40,17.75
Jack in the Box,Egg Roll (3 pc.),440,16,27.5
Jack in the Box,Stuffed Jalapenos (7 pc.),510,14,36.42857143
Jack in the Box,Bacon- Egg & Cheese Biscuit,410,16,25.625
Jack in the Box,Mini Churros (5 pc.),350,4,87.5
Jack in the Box,Kids Crispy Chicken Strips,280,17,16.47058824
Jack in the Box,Iced Coffee- Original- 16 fl oz,180,3,60
Jack in the Box,Sourdough Grilled Chicken Club,580,39,14.87179487
Jack in the Box,Southwest Chicken Salad with Crispy Chicken,500,28,17.85714286
Jack in the Box,Southwest Chicken Salad with Grilled Chicken,350,35,10
