Brand,Item,Calories,Protein (g),Fitness Ratio
McDonald's,Sausage- Egg & Cheese McGriddles,550,20,27.5
McDonald's,Strawberry Banana Smoothie- Large,330,4,82.5
McDonald's,Birthday Cake Dipped Cone,270,5,54
McDonald's,Chicken McNuggets (40 piece),1770,98,18.06122448979592
McDonald's,Bacon McDouble (New York),450,28,16.071428571428573
McDonald's,Vanilla Bean Ice Cream,290,5,58
McDonald's,Guava and Creme Pie,290,3,96.66666666666667
McDonald's,Spam Eggs and Rice,480,24,20
McDonald's,Buttermilk Crispy Chicken Sandwich,630,28,22.5
McDonald's,Fried Coconut (Haupia) Pie,270,2,135
McDonald's,Pumpkin and Creme Pie,280,3,93.33333333333333
McDonald's,Double Quarter Pounder with Cheese,770,51,15.098039215686274
McDonald's,Side Fruit 'n Yogurt Parfait,150,4,37.5
McDonald's,McFlurry with M&M's Chocolate Candies,630,13,48.46153846153846
McDonald's,Minute Maid Orange Juice- Medium,200,3,66.66666666666667
McDonald's,Premium Bacon Ranch Salad without Chicken,190,14,13.571428571428571
McDonald's,Sausage Biscuit with Egg Whites,490,17,28.823529411764707
McDonald's,Bacon Smokehouse Buttermilk Crispy Chicken Sandwich,920,46,20
McDonald's,1% Low Fat Milk Jug California,130,11,11.818181818181818
McDonald's,Strawberry Sundae with Compostable Packaging,270,6,45
McDonald's,Chicken Sausage and Egg McMuffin,360,23,15.652173913043478
McDonald's,Southern Style Chicken Scratch Biscuit,460,16,28.75
McDonald's,Country Ham and Egg Biscuit,400,21,19.047619047619047
McDonald's,Ranch Snack Wrap- Buttermilk Chicken Tender,360,16,22.5
McDonald's,Daily Double Burger Mustard Style,380,23,16.52173913043478
McDonald's,McFlurry with Twix- Snack Size,460,9,51.111111111111114
McDonald's,Premium Grilled Chicken Bacon Clubhouse Sandwich,630,48,13.125
McDonald's,Sweet Potato and Creme Pie,290,3,96.66666666666667
McDonald's,Double Quarter Pounder with Cheese,770,51,15.098039215686274
McDonald's,Side Fruit 'n Yogurt Parfait,150,4,37.5
McDonald's,McFlurry with M&M's Chocolate Candies,630,13,48.46153846153846
McDonald's,Minute Maid Orange Juice- Medium,200,3,66.66666666666667
McDonald's,Premium Bacon Ranch Salad without Chicken,190,14,13.571428571428571
McDonald's,Sausage Biscuit with Egg Whites,490,17,28.823529411764707
McDonald's,Buttermilk Crispy Tenders (2 piece),250,20,12.5
McDonald's,Blueberry Muffin Main Street Gourmet,400,7,57.142857142857146
McDonald's,Buffalo Bacon Buttermilk Crispy Chicken Sandwich,680,36,18.88888888888889
McDonald's,Turkey Sausage and Tomatillo Scramble Bowl,330,29,11.379310344827585
McDonald's,Buttermilk Crispy Tenders (10 piece),1250,98,12.755102040816327
McDonald's,Buttermilk Crispy Tenders (4 piece),500,39,12.820512820512821
McDonald's,Mushroom & Swiss Artisan Grilled Chicken Sandwich,580,42,13.80952380952381
McDonald's,Bacon Smokehouse Artisan Grilled Chicken Sandwich,750,55,13.636363636363637
McDonald's,Grilled Onion Cheddar Burger Triple,530,32,16.5625
